91,14,26,3,3,94,66,10,63,90,
94,81,92,89,7,37,24,77,83,97,
32,55,87,15,90,79,93,46,96,42,
14,1,81,63,29,11,8,46,86,77,
41,41,31,78,1,8,66,28,55,61,
89,52,72,33,10,50,45,17,55,14,
71,97,49,20,53,42,21,51,69,5,
4,41,9,50,93,44,5,33,73,43,
24,39,96,92,73,73,29,69,6,10,
69,42,62,57,87,88,77,64,86,72,
7,90,0,90,17,0,22,67,41,49,
79,6,30,67,49,83,77,3,97,30,
91,69,79,0,77,6,43,76,92,63,
79,8,46,13,43,11,42,47,72,59,
17,78,74,21,29,18,59,0,41,15,
85,85,14,75,90,90,66,70,99,2,
11,98,7,4,38,43,63,99,83,96,
17,7,14,12,30,36,30,97,10,13,
64,84,54,82,91,20,28,27,85,38,
18,94,90,70,47,79,10,9,79,24,
90,76,66,57,13,69,58,52,8,25,
78,44,39,22,84,69,45,44,16,28,
75,94,86,66,53,63,15,33,58,30,
79,70,89,50,32,48,16,37,34,3,
34,53,68,10,40,6,59,27,24,33,
49,62,5,24,73,90,18,25,98,56,
67,79,13,6,21,54,18,61,14,94,
97,86,99,5,24,59,14,79,11,64,
93,35,90,44,24,84,38,49,7,23,
91,17,68,68,37,23,25,17,17,27,
2,18,11,14,5,6,10,56,63,62,
47,43,2,74,18,72,11,19,69,45,
48,95,8,5,43,46,12,32,42,68,
43,25,56,41,53,99,68,1,93,68,
98,25,72,25,99,14,90,4,26,12,
44,45,66,44,66,58,38,34,52,78,
25,92,40,41,22,27,11,30,84,77,
12,91,40,9,53,3,95,38,38,10,
60,50,96,93,85,27,44,27,95,72,
82,10,18,13,27,80,47,16,66,36,
58,96,82,34,75,69,60,43,5,61,
53,85,99,12,86,90,76,83,16,19,
94,28,37,96,62,15,90,36,55,18,
65,18,87,4,60,74,58,27,41,3,
21,6,53,65,51,69,30,71,25,2,
18,57,37,57,29,71,39,59,27,28,
100,89,5,67,75,76,40,69,91,93,
29,93,63,61,82,11,16,83,49,11,
27,18,61,21,80,94,94,86,3,59,
23,98,46,98,58,60,79,30,16,65,
65,47,8,5,83,91,95,4,48,5,
55,68,70,7,10,7,45,1,37,43,
79,29,20,89,85,21,44,24,44,61,
48,90,5,16,51,26,89,67,37,100,
51,51,33,25,88,20,60,88,71,64,
70,14,16,54,90,45,92,50,100,82,
75,11,78,53,80,98,96,37,99,27,
79,83,89,49,58,10,39,85,77,44,
23,5,3,16,5,59,31,43,23,0,
89,68,10,85,50,90,69,4,66,37,
93,89,84,48,8,73,63,100,78,73,
76,7,27,65,2,86,53,61,73,81,
22,47,49,45,89,82,65,66,8,32,
19,5,82,21,17,27,54,97,44,63,
15,74,79,22,10,49,48,38,96,54,
71,85,47,99,89,79,15,15,23,55,
7,84,48,56,93,36,3,55,82,30,
21,68,44,13,87,44,55,9,90,86,
91,41,2,67,85,95,97,61,74,48,
88,57,60,1,68,48,98,42,61,28,
27,48,97,20,81,0,9,87,83,33,
46,44,29,77,93,13,10,30,24,68,
21,29,13,35,91,95,15,13,77,64,
10,45,46,18,40,56,95,19,97,96,
5,75,37,2,5,93,10,29,65,97,
49,63,62,12,23,72,30,99,4,78,
30,37,75,58,79,25,9,71,99,16,
83,82,100,73,90,13,42,83,22,79,
21,57,25,38,1,7,91,29,32,49,
3,12,14,60,53,71,38,39,100,74,
17,32,80,47,20,71,6,11,87,14,
37,81,45,43,71,24,87,54,2,16,
59,17,44,57,34,26,15,10,21,84,
83,9,93,72,5,94,61,36,65,75,
80,89,20,40,91,45,22,55,28,22,
84,41,42,52,64,82,85,58,88,57,
20,70,7,3,13,76,47,57,13,97,
56,39,15,99,0,20,48,25,1,34,
31,7,93,1,36,94,74,47,31,29,
17,99,51,27,47,22,94,45,77,58,
28,10,90,31,36,25,25,45,21,13,
6,71,18,0,79,59,100,46,6,46,
58,41,5,16,39,46,99,81,38,69,
19,0,72,54,6,51,17,67,58,90,
45,65,27,69,77,19,10,47,27,42,
21,77,6,87,23,12,18,68,24,89,
28,70,82,1,71,59,57,48,98,10,
2,35,20,84,59,80,31,74,95,48,
93,46,97,83,71,5,5,6,58,66,
3,75,89,16,0,30,62,65,97,78,
51,4,54,37,18,14,81,77,78,84,
99,28,27,79,83,99,89,44,97,93,
41,1,72,61,86,32,5,59,0,52,
32,27,78,22,59,90,79,95,19,85,
71,25,60,66,5,29,88,23,2,70,
33,38,12,26,63,79,62,42,0,38,
47,31,21,6,19,91,7,50,46,40,
12,10,74,99,32,9,66,90,57,79,
53,56,65,85,49,32,36,39,53,75,
77,18,79,71,80,22,71,95,24,22,
50,49,81,40,42,100,29,18,96,5,
91,82,83,20,10,40,60,89,11,16,
91,71,32,3,23,11,50,50,17,12,
60,82,72,8,11,65,80,30,85,31,
62,99,41,29,84,47,74,34,39,50,
13,22,6,74,87,4,42,90,58,75,
74,42,14,6,80,99,43,35,0,39,
22,79,29,97,15,65,20,76,33,72,
21,31,88,7,72,4,49,42,20,17,
81,97,85,93,19,29,41,27,24,36,
89,22,58,63,36,53,82,59,95,84,
32,93,70,90,60,43,16,15,65,17,
20,80,97,20,17,30,15,51,14,19,
95,90,2,28,19,11,77,51,93,26,
75,100,25,1,1,62,2,96,71,24,
77,86,94,18,14,89,41,85,52,4,
84,72,47,76,11,2,70,2,43,39,
98,65,20,7,82,67,9,20,4,6,
94,56,25,28,10,75,90,88,30,47,
42,81,54,11,5,78,100,89,55,48,
0,48,31,47,75,64,18,47,23,25,
7,86,90,19,15,63,42,37,97,81,
10,20,98,39,67,32,48,56,72,17,
0,68,6,29,55,78,63,56,64,36,
30,95,56,71,45,4,36,87,62,50,
58,37,53,62,21,90,78,38,14,58,
34,45,87,53,7,76,25,48,5,84,
